"Step","quality_score","ethereal-thunder-547 - quality_score__MIN","ethereal-thunder-547 - quality_score__MAX"
"0","0.9","0.9","0.9"
"1","0.9","0.9","0.9"
"2","1","1","1"
"3","0.8","0.8","0.8"
"4","0.9","0.9","0.9"
"5","0.8","0.8","0.8"
"6","0.8","0.8","0.8"
"7","0.9","0.9","0.9"
"8","0.9","0.9","0.9"
"9","0.8","0.8","0.8"
"10","0.9","0.9","0.9"
"11","0.9","0.9","0.9"
"12","0.9","0.9","0.9"
"13","0.8","0.8","0.8"
"14","0.9","0.9","0.9"
"15","0.8","0.8","0.8"
"16","0.9","0.9","0.9"
"17","0.9","0.9","0.9"
"18","1","1","1"
"19","0.9","0.9","0.9"
"20","1","1","1"
"21","0.9","0.9","0.9"
"22","1","1","1"
"23","1","1","1"
"24","0.9","0.9","0.9"
"25","1","1","1"
"26","1","1","1"
"27","0.8","0.8","0.8"
"28","0.8","0.8","0.8"
"29","1","1","1"
"30","1","1","1"
"31","1","1","1"
"32","1","1","1"
"33","0.9","0.9","0.9"
"34","0.9","0.9","0.9"
"35","1","1","1"
"36","0.9","0.9","0.9"
"37","0.8","0.8","0.8"
"38","0.9","0.9","0.9"
"39","0.9","0.9","0.9"
"40","0.9","0.9","0.9"
"41","1","1","1"
"42","1","1","1"
"43","0.9","0.9","0.9"
"44","0.8","0.8","0.8"
"45","1","1","1"
"46","1","1","1"
"47","0.9","0.9","0.9"
"48","0.8","0.8","0.8"
"49","1","1","1"
"50","0.9","0.9","0.9"
"51","0.8","0.8","0.8"
"52","0.9","0.9","0.9"
"53","0.9","0.9","0.9"
"54","0.9","0.9","0.9"
"55","0.9","0.9","0.9"
"56","0.9","0.9","0.9"
"57","1","1","1"
"58","0.8","0.8","0.8"
"59","0.9","0.9","0.9"
"60","0.8","0.8","0.8"
"61","1","1","1"
"62","0.9","0.9","0.9"
"63","0.9","0.9","0.9"
"64","0.9","0.9","0.9"
"65","0.9","0.9","0.9"
"66","1","1","1"
"67","0.8","0.8","0.8"
"68","0.9","0.9","0.9"
"69","0.9","0.9","0.9"
"70","0.9","0.9","0.9"
"71","0.8","0.8","0.8"
"72","1","1","1"
"73","0.9","0.9","0.9"
"74","0.9","0.9","0.9"
"75","1","1","1"
"76","0.9","0.9","0.9"
"77","0.9","0.9","0.9"
"78","0.8","0.8","0.8"
"79","0.8","0.8","0.8"
"80","0.9","0.9","0.9"
"81","0.8","0.8","0.8"
"82","0.9","0.9","0.9"
"83","0.8","0.8","0.8"
"84","0.8","0.8","0.8"
"85","0.8","0.8","0.8"
"86","0.9","0.9","0.9"
"87","0.9","0.9","0.9"
"88","0.9","0.9","0.9"
"89","1","1","1"
"90","0.9","0.9","0.9"
"91","0.9","0.9","0.9"
"92","0.9","0.9","0.9"
"93","0.9","0.9","0.9"
"94","0.9","0.9","0.9"
"95","0.9","0.9","0.9"
"96","1","1","1"
"97","0.9","0.9","0.9"
"98","0.9","0.9","0.9"
"99","0.8","0.8","0.8"
"100","0.8","0.8","0.8"
"101","0.8","0.8","0.8"
"102","1","1","1"
"103","0.9","0.9","0.9"
"104","1","1","1"
"105","0.8","0.8","0.8"
"106","0.8","0.8","0.8"
"107","1","1","1"
"108","0.9","0.9","0.9"
"109","1","1","1"
"110","0.8","0.8","0.8"
"111","0.9","0.9","0.9"
"112","1","1","1"
"113","0.8","0.8","0.8"
"114","1","1","1"
"115","0.9","0.9","0.9"
"116","0.9","0.9","0.9"
"117","0.9","0.9","0.9"
"118","1","1","1"
"119","0.8","0.8","0.8"
"120","0.9","0.9","0.9"
"121","0.9","0.9","0.9"
"122","0.8","0.8","0.8"
"123","0.9","0.9","0.9"
"124","0.8","0.8","0.8"
"125","0.8","0.8","0.8"
"126","0.9","0.9","0.9"
"127","0.8","0.8","0.8"
"128","0.8","0.8","0.8"
"129","1","1","1"
"130","0.9","0.9","0.9"
"131","0.9","0.9","0.9"
"132","0.9","0.9","0.9"
"133","0.9","0.9","0.9"
"134","0.9","0.9","0.9"
"135","1","1","1"
"136","0.8","0.8","0.8"
"137","0.9","0.9","0.9"
"138","0.8","0.8","0.8"
"139","0.9","0.9","0.9"
"140","0.8","0.8","0.8"
"141","1","1","1"
"142","0.8","0.8","0.8"
"143","1","1","1"
"144","1","1","1"
"145","0.8","0.8","0.8"
"146","0.9","0.9","0.9"
"147","0.8","0.8","0.8"
"148","0.9","0.9","0.9"
"149","0.8","0.8","0.8"
"150","1","1","1"
"151","0.8","0.8","0.8"
"152","1","1","1"
"153","1","1","1"
"154","0.9","0.9","0.9"
"155","1","1","1"
"156","1","1","1"
"157","0.8","0.8","0.8"
"158","0.9","0.9","0.9"
"159","0.9","0.9","0.9"
"160","0.9","0.9","0.9"
"161","0.8","0.8","0.8"
"162","0.9","0.9","0.9"
"163","0.8","0.8","0.8"
"164","0.7","0.7","0.7"
"165","0.8","0.8","0.8"
"166","0.9","0.9","0.9"
"167","0.9","0.9","0.9"
"168","0.8","0.8","0.8"
"169","0.9","0.9","0.9"
"170","1","1","1"
"171","0.8","0.8","0.8"
"172","1","1","1"
"173","0.9","0.9","0.9"
"174","1","1","1"
"175","0.8","0.8","0.8"
"176","0.9","0.9","0.9"
"177","0.9","0.9","0.9"
"178","0.9","0.9","0.9"
"179","0.9","0.9","0.9"
"180","0.9","0.9","0.9"
"181","0.8","0.8","0.8"
"182","0.8","0.8","0.8"
"183","0.9","0.9","0.9"
"184","0.9","0.9","0.9"
"185","1","1","1"
"186","1","1","1"
"187","0.8","0.8","0.8"
"188","0.9","0.9","0.9"
"189","0.8","0.8","0.8"
"190","0.8","0.8","0.8"
"191","0.8","0.8","0.8"
"192","0.9","0.9","0.9"
"193","0.9","0.9","0.9"
"194","0.8","0.8","0.8"
"195","0.9","0.9","0.9"
"196","1","1","1"
"197","0.8","0.8","0.8"
"198","0.9","0.9","0.9"
