"Step","quality_score","wandering-brook-1 - quality_score__MIN","wandering-brook-1 - quality_score__MAX"
"0","1","1","1"
"1","1","1","1"
"2","0.9","0.9","0.9"
"3","0.9","0.9","0.9"
"4","1","1","1"
"5","0.9","0.9","0.9"
"6","1","1","1"
"7","1","1","1"
"8","1","1","1"
"9","0.9","0.9","0.9"
"10","1","1","1"
"11","1","1","1"
"12","1","1","1"
"13","1","1","1"
"14","1","1","1"
"15","0.9","0.9","0.9"
"16","0.9","0.9","0.9"
"17","1","1","1"
"18","1","1","1"
"19","1","1","1"
"20","1","1","1"
"21","0.9","0.9","0.9"
"22","1","1","1"
"23","1","1","1"
"24","0.9","0.9","0.9"
"25","1","1","1"
"26","1","1","1"
"27","0.9","0.9","0.9"
"28","1","1","1"
"29","1","1","1"
"30","0.9","0.9","0.9"
"31","1","1","1"
"32","1","1","1"
"33","0.9","0.9","0.9"
"34","1","1","1"
"35","1","1","1"
"36","0.9","0.9","0.9"
"37","1","1","1"
"38","0.9","0.9","0.9"
"39","1","1","1"
"40","1","1","1"
"41","1","1","1"
"42","0.9","0.9","0.9"
"43","1","1","1"
"44","0.9","0.9","0.9"
"45","1","1","1"
"46","1","1","1"
"47","1","1","1"
"48","1","1","1"
"49","1","1","1"
"50","1","1","1"
"51","1","1","1"
"52","0.95","0.95","0.95"
"53","0.9","0.9","0.9"
"54","1","1","1"
"55","1","1","1"
"56","1","1","1"
"57","0.9","0.9","0.9"
"58","1","1","1"
"59","0.9","0.9","0.9"
"60","0.9","0.9","0.9"
"61","1","1","1"
"62","0.9","0.9","0.9"
"63","0.9","0.9","0.9"
"64","1","1","1"
"65","1","1","1"
"66","1","1","1"
"67","0.9","0.9","0.9"
"68","0.9","0.9","0.9"
"69","1","1","1"
"70","1","1","1"
"71","0.9","0.9","0.9"
"72","0.9","0.9","0.9"
"73","1","1","1"
"74","1","1","1"
"75","1","1","1"
"76","1","1","1"
"77","0.95","0.95","0.95"
"78","1","1","1"
"79","0.8","0.8","0.8"
"80","0.9","0.9","0.9"
"81","0.9","0.9","0.9"
"82","1","1","1"
"83","1","1","1"
"84","0.9","0.9","0.9"
"85","0.8","0.8","0.8"
"86","1","1","1"
"87","1","1","1"
"88","0.95","0.95","0.95"
"89","1","1","1"
"90","1","1","1"
"91","1","1","1"
"92","0.9","0.9","0.9"
"93","0.8","0.8","0.8"
"94","0.9","0.9","0.9"
"95","0.9","0.9","0.9"
"96","0.9","0.9","0.9"
"97","0.9","0.9","0.9"
"98","1","1","1"
"99","0.9","0.9","0.9"
"100","1","1","1"
"101","0.9","0.9","0.9"
"102","1","1","1"
"103","0.9","0.9","0.9"
"104","1","1","1"
"105","1","1","1"
"106","0.9","0.9","0.9"
"107","0.9","0.9","0.9"
"108","0.9","0.9","0.9"
"109","1","1","1"
"110","1","1","1"
"111","0.9","0.9","0.9"
"112","1","1","1"
"113","0.9","0.9","0.9"
"114","1","1","1"
"115","1","1","1"
"116","1","1","1"
"117","0.9","0.9","0.9"
"118","0.9","0.9","0.9"
"119","0.9","0.9","0.9"
"120","0.95","0.95","0.95"
"121","1","1","1"
"122","1","1","1"
"123","1","1","1"
"124","1","1","1"
"125","0.9","0.9","0.9"
"126","1","1","1"
"127","0.9","0.9","0.9"
"128","1","1","1"
"129","1","1","1"
"130","1","1","1"
"131","1","1","1"
"132","1","1","1"
"133","1","1","1"
"134","1","1","1"
"135","0.9","0.9","0.9"
"136","1","1","1"
"137","0.9","0.9","0.9"
"138","1","1","1"
"139","0.95","0.95","0.95"
"140","1","1","1"
"141","0.9","0.9","0.9"
"142","1","1","1"
"143","0.9","0.9","0.9"
"144","1","1","1"
"145","1","1","1"
"146","1","1","1"
"147","1","1","1"
"148","1","1","1"
"149","1","1","1"
"150","1","1","1"
"151","1","1","1"
"152","1","1","1"
"153","1","1","1"
"154","1","1","1"
"155","1","1","1"
"156","1","1","1"
"157","1","1","1"
"158","0.9","0.9","0.9"
"159","0.9","0.9","0.9"
"160","0.9","0.9","0.9"
"161","0.8","0.8","0.8"
"162","1","1","1"
"163","1","1","1"
"164","1","1","1"
"165","1","1","1"
"166","1","1","1"
"167","1","1","1"
"168","1","1","1"
"169","1","1","1"
"170","1","1","1"
"171","1","1","1"
"172","0.9","0.9","0.9"
"173","0.9","0.9","0.9"
"174","1","1","1"
"175","1","1","1"
"176","1","1","1"
"177","1","1","1"
"178","0.9","0.9","0.9"
"179","0.9","0.9","0.9"
"180","1","1","1"
"181","1","1","1"
"182","1","1","1"
"183","1","1","1"
"184","1","1","1"
"185","1","1","1"
"186","1","1","1"
"187","1","1","1"
"188","0.9","0.9","0.9"
"189","0.9","0.9","0.9"
"190","1","1","1"
"191","1","1","1"
"192","0.9","0.9","0.9"
"193","0.9","0.9","0.9"
"194","1","1","1"
"195","0.9","0.9","0.9"
"196","1","1","1"
"197","1","1","1"
"198","1","1","1"
"199","0.9","0.9","0.9"
"200","1","1","1"
"201","0.9","0.9","0.9"
"202","1","1","1"
"203","0.9","0.9","0.9"
"204","0.9","0.9","0.9"
"205","1","1","1"
"206","0.9","0.9","0.9"
"207","0.9","0.9","0.9"
"208","1","1","1"
"209","1","1","1"
"210","0.9","0.9","0.9"
"211","1","1","1"
"212","1","1","1"
"213","1","1","1"
"214","1","1","1"
"215","0.9","0.9","0.9"
"216","1","1","1"
"217","0.9","0.9","0.9"
"218","1","1","1"
"219","1","1","1"
"220","1","1","1"
"221","1","1","1"
"222","1","1","1"
"223","1","1","1"
"224","1","1","1"
"225","1","1","1"
"226","1","1","1"
"227","0.9","0.9","0.9"
"228","1","1","1"
"229","1","1","1"
"230","1","1","1"
"231","1","1","1"
"232","0.9","0.9","0.9"
"233","1","1","1"
"234","1","1","1"
"235","1","1","1"
"236","1","1","1"
"237","1","1","1"
"238","1","1","1"
"239","0.9","0.9","0.9"
"240","0.9","0.9","0.9"
"241","1","1","1"
"242","0.9","0.9","0.9"
"243","1","1","1"
"244","1","1","1"
"245","1","1","1"
"246","1","1","1"
"247","0.9","0.9","0.9"
"248","1","1","1"
"249","1","1","1"
"250","1","1","1"
"251","1","1","1"
"252","1","1","1"
"253","1","1","1"
"254","1","1","1"
"255","1","1","1"
"256","0.9","0.9","0.9"
"257","0.9","0.9","0.9"
"258","1","1","1"
"259","1","1","1"
"260","0.9","0.9","0.9"
"261","1","1","1"
"262","1","1","1"
"263","1","1","1"
"264","1","1","1"
"265","1","1","1"
"266","0.9","0.9","0.9"
"267","0.9","0.9","0.9"
"268","0.9","0.9","0.9"
"269","1","1","1"
"270","1","1","1"
"271","0.9","0.9","0.9"
"272","1","1","1"
"273","1","1","1"
"274","1","1","1"
"275","1","1","1"
"276","1","1","1"
"277","0.9","0.9","0.9"
"278","1","1","1"
"279","1","1","1"
"280","1","1","1"
"281","0.9","0.9","0.9"
"282","0.9","0.9","0.9"
"283","0.9","0.9","0.9"
"284","1","1","1"
"285","0.9","0.9","0.9"
"286","1","1","1"
"287","1","1","1"
"288","1","1","1"
"289","1","1","1"
"290","0.9","0.9","0.9"
"291","1","1","1"
"292","1","1","1"
"293","1","1","1"
"294","0.9","0.9","0.9"
"295","1","1","1"
"296","0.9","0.9","0.9"
"297","0.9","0.9","0.9"
"298","1","1","1"
"299","1","1","1"
"300","1","1","1"
"301","1","1","1"
"302","1","1","1"
"303","1","1","1"
"304","1","1","1"
"305","1","1","1"
"306","0.9","0.9","0.9"
"307","0.9","0.9","0.9"
"308","0.95","0.95","0.95"
"309","1","1","1"
"310","1","1","1"
"311","0.9","0.9","0.9"
"312","1","1","1"
"313","0.9","0.9","0.9"
"314","1","1","1"
"315","1","1","1"
"316","1","1","1"
"317","0.95","0.95","0.95"
"318","1","1","1"
"319","0.9","0.9","0.9"
"320","1","1","1"
"321","1","1","1"
"322","1","1","1"
"323","1","1","1"
"324","1","1","1"
"325","1","1","1"
"326","1","1","1"
"327","1","1","1"
"328","1","1","1"
"329","0.9","0.9","0.9"
"330","1","1","1"
"331","1","1","1"
"332","1","1","1"
"333","1","1","1"
"334","1","1","1"
"335","1","1","1"
"336","0.9","0.9","0.9"
"337","1","1","1"
"338","0.9","0.9","0.9"
"339","1","1","1"
"340","1","1","1"
"341","1","1","1"
"342","1","1","1"
"343","1","1","1"
"344","1","1","1"
"345","1","1","1"
"346","1","1","1"
"347","1","1","1"
"348","1","1","1"
"349","0.9","0.9","0.9"
"350","1","1","1"
"351","1","1","1"
"352","1","1","1"
"353","0.9","0.9","0.9"
"354","0.9","0.9","0.9"
"355","1","1","1"
"356","1","1","1"
"357","1","1","1"
"358","0.9","0.9","0.9"
"359","1","1","1"
"360","0.9","0.9","0.9"
"361","0.9","0.9","0.9"
"362","1","1","1"
"363","1","1","1"
"364","1","1","1"
"365","1","1","1"
"366","1","1","1"
"367","0.95","0.95","0.95"
"368","0.9","0.9","0.9"
"369","1","1","1"
"370","1","1","1"
"371","1","1","1"
"372","0.9","0.9","0.9"
"373","0.9","0.9","0.9"
"374","1","1","1"
"375","1","1","1"
"376","1","1","1"
"377","1","1","1"
"378","1","1","1"
"379","1","1","1"
"380","1","1","1"
"381","0.9","0.9","0.9"
"382","1","1","1"
"383","0.9","0.9","0.9"
"384","1","1","1"
"385","1","1","1"
"386","1","1","1"
"387","0.9","0.9","0.9"
"388","1","1","1"
"389","1","1","1"
"390","1","1","1"
"391","1","1","1"
"392","1","1","1"
"393","0.9","0.9","0.9"
"394","1","1","1"
"395","0.9","0.9","0.9"
"396","0.9","0.9","0.9"
"397","1","1","1"
"398","0.9","0.9","0.9"
"399","0.95","0.95","0.95"
