"Step","quality_score","lyric-paper-198 - quality_score__MIN","lyric-paper-198 - quality_score__MAX"
"0","0.8","0.8","0.8"
"1","0.8","0.8","0.8"
"2","0.8","0.8","0.8"
"3","0.8","0.8","0.8"
"4","1","1","1"
"5","1","1","1"
"6","0.8","0.8","0.8"
"7","1","1","1"
"8","1","1","1"
"9","0.9","0.9","0.9"
"10","1","1","1"
"11","1","1","1"
"12","1","1","1"
"13","0.9","0.9","0.9"
"14","1","1","1"
"15","0.9","0.9","0.9"
"16","1","1","1"
"17","0.8","0.8","0.8"
"18","1","1","1"
"19","0.9","0.9","0.9"
"20","1","1","1"
"21","0.8","0.8","0.8"
"22","1","1","1"
"23","1","1","1"
"24","1","1","1"
"25","1","1","1"
"26","0.9","0.9","0.9"
"27","1","1","1"
"28","1","1","1"
"29","1","1","1"
"30","0.95","0.95","0.95"
"31","1","1","1"
"32","0.8","0.8","0.8"
"33","0.9","0.9","0.9"
"34","0.8","0.8","0.8"
"35","1","1","1"
"36","1","1","1"
"37","1","1","1"
"38","0.8","0.8","0.8"
"39","1","1","1"
"40","0.9","0.9","0.9"
"41","1","1","1"
"42","1","1","1"
"43","1","1","1"
"44","1","1","1"
"45","0.8","0.8","0.8"
"46","0.8","0.8","0.8"
"47","0.9","0.9","0.9"
"48","1","1","1"
"49","0.9","0.9","0.9"
"50","1","1","1"
"51","1","1","1"
"52","1","1","1"
"53","1","1","1"
"54","1","1","1"
"55","0.9","0.9","0.9"
"56","0.9","0.9","0.9"
"57","0.8","0.8","0.8"
"58","1","1","1"
"59","1","1","1"
"60","1","1","1"
"61","1","1","1"
"62","0.9","0.9","0.9"
"63","0.9","0.9","0.9"
"64","1","1","1"
"65","1","1","1"
"66","1","1","1"
"67","0.8","0.8","0.8"
"68","0.9","0.9","0.9"
"69","1","1","1"
"70","0.9","0.9","0.9"
"71","0.9","0.9","0.9"
"72","1","1","1"
"73","0.9","0.9","0.9"
"74","0.8","0.8","0.8"
"75","1","1","1"
"76","1","1","1"
"77","0.9","0.9","0.9"
"78","0.9","0.9","0.9"
"79","1","1","1"
"80","1","1","1"
"81","1","1","1"
"82","1","1","1"
"83","0.9","0.9","0.9"
"84","1","1","1"
"85","1","1","1"
"86","1","1","1"
"87","0.9","0.9","0.9"
"88","0.9","0.9","0.9"
"89","0.9","0.9","0.9"
"90","1","1","1"
"91","1","1","1"
"92","0.9","0.9","0.9"
"93","0.9","0.9","0.9"
"94","1","1","1"
"95","0.9","0.9","0.9"
"96","1","1","1"
"97","1","1","1"
"98","1","1","1"
"99","1","1","1"
"100","1","1","1"
"101","0.8","0.8","0.8"
"102","1","1","1"
"103","0.9","0.9","0.9"
"104","0.9","0.9","0.9"
"105","1","1","1"
"106","0.9","0.9","0.9"
"107","1","1","1"
"108","0.8","0.8","0.8"
"109","1","1","1"
"110","1","1","1"
"111","1","1","1"
"112","0.9","0.9","0.9"
"113","1","1","1"
"114","1","1","1"
"115","1","1","1"
"116","0.9","0.9","0.9"
"117","0.8","0.8","0.8"
"118","0.9","0.9","0.9"
"119","1","1","1"
"120","1","1","1"
"121","0.9","0.9","0.9"
"122","1","1","1"
"123","0.9","0.9","0.9"
"124","1","1","1"
"125","1","1","1"
"126","0.9","0.9","0.9"
"127","1","1","1"
"128","0.9","0.9","0.9"
"129","1","1","1"
"130","1","1","1"
"131","1","1","1"
"132","1","1","1"
"133","1","1","1"
"134","1","1","1"
"135","0.9","0.9","0.9"
"136","1","1","1"
"137","1","1","1"
"138","1","1","1"
"139","1","1","1"
"140","0.9","0.9","0.9"
"141","1","1","1"
"142","0.8","0.8","0.8"
"143","1","1","1"
"144","1","1","1"
"145","1","1","1"
"146","1","1","1"
"147","0.9","0.9","0.9"
"148","0.9","0.9","0.9"
"149","0.9","0.9","0.9"
"150","1","1","1"
"151","1","1","1"
"152","0.8","0.8","0.8"
"153","1","1","1"
"154","1","1","1"
"155","1","1","1"
"156","1","1","1"
"157","1","1","1"
"158","1","1","1"
"159","1","1","1"
"160","1","1","1"
